City,Country,Latitude,Long,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Cabo San Lucas,MX,22.89,-109.91,80.6,57,5,14.99
Hilo,US,19.71,-155.08,78.08,76,90,3.36
Provideniya,RU,64.42,-173.23,14.0,56,20,17.9
Sungaipenuh,ID,-2.08,101.38,66.57,95,88,1.25
Lavrentiya,RU,65.58,-170.99,24.04,100,76,29.89
Balkanabat,TM,39.51,54.36,36.6,95,88,2.37
Port Hardy,CA,50.7,-127.42,44.6,87,90,31.09
Innisfail,AU,-17.52,146.03,81.19,63,36,3.38
Grindavik,IS,63.84,-22.43,35.6,80,75,6.93
Bethel,US,60.79,-161.76,12.02,91,1,20.8
Abu Kamal,SY,34.45,40.92,49.78,93,0,8.75
Arraial do Cabo,BR,-22.97,-42.02,82.4,65,40,11.41
Clyde River,CA,70.47,-68.59,-18.41,75,1,3.36
Yar-Sale,RU,66.83,70.83,-12.91,61,20,2.59
Kanungu,UG,-0.9,29.78,60.22,100,0,3.04
Havre-Saint-Pierre,CA,50.23,-63.6,23.0,62,40,6.93
Torbay,CA,47.66,-52.73,28.4,63,40,27.51
Rio Grande,BR,-32.03,-52.1,75.2,33,0,10.29
Korla,CN,41.76,86.15,7.35,75,0,4.5
Bolpur,IN,23.66,87.7,58.33,84,0,2.71
Puerto Madryn,AR,-42.77,-65.04,67.69,49,0,6.73
Mizan Teferi,ET,6.99,35.58,70.75,57,76,1.92
Qasigiannguit,GL,68.82,-51.19,28.4,63,56,3.36
Port Hawkesbury,CA,45.62,-61.36,32.0,100,40,9.17
Spolaita,GR,38.7,21.35,64.4,93,75,9.17
Bitam,GA,2.08,11.49,72.1,96,48,2.15
Faanui,PF,-16.48,-151.75,81.37,100,48,10.2
Nikolskoye,RU,59.7,30.79,30.2,86,90,11.18
Egvekinot,RU,66.32,-179.17,13.42,78,68,14.23
Isangel,VU,-19.55,169.27,77.41,100,76,8.86
Dhidhdhoo,MV,6.88,73.1,83.44,100,68,7.4
Los Llanos de Aridane,ES,28.66,-17.92,68.0,77,20,6.93
Gimli,CA,50.63,-96.99,12.48,79,44,11.88
Maldonado,UY,-34.91,-54.96,68.0,42,0,8.05
Hare Bay,CA,48.86,-53.99,26.6,53,75,27.51
Hunterville,NZ,-39.94,175.57,56.22,100,92,5.5
Sabancuy,MX,18.97,-91.18,84.48,84,0,2.37
Sorland,NO,67.67,12.69,35.6,59,75,14.99
Nuuk,GL,64.17,-51.74,35.6,55,0,8.05
Ilulissat,GL,69.22,-51.1,28.4,63,56,3.36
Cabangahan,PH,10.4,123.92,78.8,83,75,8.05
Gaoua,BF,10.33,-3.18,77.77,31,0,7.63
Port Elizabeth,ZA,-33.92,25.57,66.2,93,20,5.82
Nanortalik,GL,60.14,-45.24,36.42,83,0,28.66
Motygino,RU,58.18,94.69,11.22,57,64,9.75
Maceio,BR,-9.67,-35.74,78.8,74,40,13.87
Pacific Grove,US,36.62,-121.92,66.92,69,1,6.93
Port Alfred,ZA,-33.59,26.89,68.55,93,92,9.98
Ponta do Sol,CV,17.2,-25.09,74.98,100,20,19.82
Kavaratti,IN,10.57,72.64,83.58,100,0,9.42
Pangnirtung,CA,66.15,-65.72,21.2,100,90,10.29
Sechura,PE,-5.56,-80.82,66.2,29,0,12.75
Lagoa,PT,37.14,-8.45,62.6,88,20,21.92
Upernavik,GL,72.79,-56.15,14.5,100,32,22.62
Kilindoni,TZ,-7.91,39.67,82.5,99,80,11.1
Borgarnes,IS,64.54,-21.92,35.6,64,75,8.05
Manizales,CO,5.06,-75.5,78.8,74,40,4.7
Biak,ID,-0.91,122.88,76.15,100,8,3.15
Beyneu,KZ,45.32,55.19,20.98,90,64,5.73
Tiksi,RU,71.64,128.87,-31.63,54,0,2.48
Beringovskiy,RU,63.05,179.32,24.9,99,80,23.51
New Norfolk,AU,-42.78,147.06,55.4,93,75,9.17
Banes,CU,20.96,-75.72,86.0,45,40,10.29
Alofi,NU,-19.06,-169.92,84.2,66,75,9.17
ChengDe,CN,40.97,117.93,22.2,68,0,6.51
Tovarkovo,RU,54.68,35.94,23.77,92,88,4.72
Kathmandu,NP,27.71,85.32,48.2,93,20,3.36
Viravanallur,IN,8.7,77.53,78.8,88,20,4.7
Talnakh,RU,69.49,88.39,-6.11,71,64,2.59
Newport,US,41.49,-71.31,48.92,89,90,4.7
Tottori,JP,35.5,134.23,46.4,93,40,8.05
Mahebourg,MU,-20.41,57.7,77.0,94,40,4.7
Arlit,NE,18.74,7.39,64.18,29,0,5.61
Buraydah,SA,26.33,43.97,57.2,100,20,6.93
Tevriz,RU,57.51,72.4,4.83,78,48,3.71
Paracatu,BR,-17.22,-46.87,69.58,97,80,8.41
Laukaa,FI,62.42,25.95,19.4,92,75,6.73
Teya,RU,60.37,92.63,6.18,62,76,6.96
Bonaventure,CA,48.04,-65.49,30.2,80,90,4.7
Kushalgarh,IN,23.2,74.45,61.12,64,44,2.82
Alice Springs,AU,-23.7,133.88,77.0,47,90,6.93
Mehamn,NO,71.03,27.85,35.6,69,75,26.4
Iguape,BR,-24.7,-47.56,73.81,93,0,10.65
Tingambato,MX,19.5,-101.85,77.0,41,90,8.05
Roma,AU,-26.57,148.79,66.57,38,0,8.41
Havelock,US,34.88,-76.9,62.06,57,1,1.14
Chase,CA,50.82,-119.69,41.0,75,75,11.41
Hambantota,LK,6.12,81.12,77.68,100,0,7.96
Aksu,CN,41.12,80.26,10.05,58,0,0.81
Dukat,RU,62.55,155.55,-28.66,83,48,2.59
Rio Pardo,BR,-29.98,-52.37,74.17,75,0,3.94
Bhatkal,IN,13.97,74.57,83.13,100,32,3.15
Kavieng,PG,-2.57,150.8,82.9,100,48,8.75
Saint George,BM,32.38,-64.68,73.4,78,20,13.87
Parabel,RU,58.71,81.5,0.01,65,0,7.74
Mayo,CA,63.59,-135.9,24.8,79,75,5.82
Bilibino,RU,68.06,166.44,-35.14,0,12,2.15
Tuktoyaktuk,CA,69.44,-133.03,-4.01,83,90,8.05
Tilichiki,RU,60.47,166.1,-12.05,76,88,3.6
Srednebelaya,RU,50.66,128.01,17.6,78,88,8.95
Praia,CV,14.92,-23.51,73.4,73,40,21.92
Hunchun,CN,42.86,130.36,13.96,73,0,2.37
Kahului,US,20.89,-156.47,84.02,62,20,16.11
Yichun,CN,27.8,114.38,40.69,97,0,2.71
Archidona,EC,-0.91,-77.81,67.83,88,80,2.59
Salinopolis,BR,-0.61,-47.36,83.67,89,88,14.79
Jiazi,CN,19.61,110.49,68.0,88,90,6.71
Pakisaji,ID,-8.06,112.6,68.14,96,32,2.26
Hirara,JP,24.8,125.28,75.57,100,68,14.34
Lokoja,NG,7.8,6.74,75.61,69,0,2.59
Poum,NC,-20.23,164.02,78.49,98,0,15.68
Bahraich,IN,27.58,81.6,58.24,86,0,2.71
Moranbah,AU,-22.0,148.04,79.84,20,0,9.31
Rawson,AR,-43.3,-65.11,75.75,25,0,8.63
Dunmore Town,BS,25.5,-76.65,77.59,100,56,11.99
Tupik,RU,54.43,119.94,-10.34,64,80,4.05
Okha,RU,53.59,142.95,1.95,100,0,14.23
Batemans Bay,AU,-35.71,150.18,60.22,88,68,8.97
Bursa,TR,40.18,29.07,35.6,100,0,2.37
Walvis Bay,NA,-22.95,14.51,59.0,82,0,5.82
Fort Payne,US,34.44,-85.72,59.0,77,1,3.36
Bredasdorp,ZA,-34.53,20.04,68.0,68,32,2.24
Terra Santa,BR,-2.1,-56.49,91.45,52,0,5.73
Mar del Plata,AR,-46.43,-67.52,72.91,28,0,2.48
Kaitangata,NZ,-46.28,169.85,52.03,91,64,17.47
Aloleng,PH,16.13,119.78,76.96,99,8,7.63
Buckeye,US,33.37,-112.58,71.6,13,1,4.7
Batagay-Alyta,RU,67.8,130.41,-28.61,42,44,1.36
Saint-Pierre,PM,46.77,-56.17,28.4,74,0,8.05
Busayra,JO,30.74,35.61,46.54,92,32,2.59
Luderitz,NA,-26.65,15.16,58.2,88,0,11.1
Boende,CD,-0.28,20.88,71.83,88,64,2.93
Tezu,IN,27.93,96.16,53.25,54,0,2.15
Port-Gentil,GA,-0.72,8.78,73.4,94,75,5.82
Pevek,RU,69.7,170.27,-9.76,100,24,4.5
Terrell,US,32.74,-96.28,55.4,42,1,21.92
Kargasok,RU,59.06,80.87,0.33,75,0,5.95
Santo Amaro da Imperatriz,BR,-27.69,-48.78,71.6,73,75,9.17
Qaqortoq,GL,60.72,-46.03,42.8,33,8,18.34
Nieuw Amsterdam,SR,5.88,-55.08,82.4,78,75,9.17
Cidreira,BR,-30.17,-50.22,68.77,74,0,8.75
Klaksvik,FO,62.23,-6.59,39.2,100,0,4.7
Kruisfontein,ZA,-34.0,24.73,64.54,100,76,5.95
Mogadishu,SO,2.04,45.34,80.07,100,0,5.39
Sinop,TR,42.03,35.15,53.02,100,0,10.2
Narsaq,GL,60.91,-46.05,42.8,33,0,18.34
Bulgan,MN,48.81,103.53,3.75,62,32,2.82
Grand Gaube,MU,-20.01,57.66,77.0,94,40,4.7
Oblivskaya,RU,48.54,42.5,14.32,84,68,3.6
Tecoanapa,MX,16.99,-99.26,86.0,70,40,6.29
Komsomolskiy,RU,67.55,63.78,0.37,73,64,12.44
Tual,ID,-5.67,132.75,84.93,100,48,7.4
Adrar,DZ,27.87,-0.29,59.0,44,0,9.17
Gusau,NG,12.17,6.66,68.05,33,0,8.08
Vestmannaeyjar,IS,63.44,-20.27,36.19,100,0,14.79
Nizhniy Tsasuchey,RU,50.52,115.13,23.23,53,8,28.43
Ocher,RU,57.89,54.72,21.3,90,76,5.17
Viedma,AR,-40.81,-62.99,69.63,34,0,10.76
Bandundu,CD,-3.32,17.38,77.68,88,56,4.72
Ipswich,GB,52.06,1.15,41.54,93,88,5.82
Eureka,US,40.8,-124.16,59.0,74,1,4.7
Inirida,CO,3.87,-67.92,83.58,82,20,2.37
Belmonte,BR,-26.84,-53.58,78.58,67,0,6.62
Oktyabrskiy,RU,55.61,37.97,26.6,79,90,6.71
Muros,ES,42.77,-9.06,41.0,100,75,12.75
Payyannur,IN,12.1,75.2,81.87,100,64,5.73
Ostrovnoy,RU,68.05,39.51,17.11,92,24,4.94
Camacha,PT,33.08,-16.33,66.2,82,40,13.87
Joensuu,FI,62.6,29.76,21.2,92,0,5.82
Cairns,AU,-16.92,145.77,86.0,66,40,8.05
Sisimiut,GL,66.94,-53.67,18.1,89,64,1.59
Fort Frances,CA,48.61,-93.4,15.98,73,90,10.29
Sao Felix do Xingu,BR,-6.64,-51.99,77.32,91,68,2.37
Manggar,ID,-2.88,108.27,76.33,100,92,2.15
Meulaboh,ID,4.14,96.13,76.06,100,44,4.38
Fayetteville,US,36.06,-94.16,33.98,75,90,19.46
San Cristobal,EC,-1.02,-79.44,66.3,98,88,2.93
Zhongxing,CN,19.57,109.85,65.8,100,100,6.51
Kalmunai,LK,7.42,81.82,72.01,100,32,4.38
Lerwick,GB,60.15,-1.15,44.6,75,80,8.05
Diffa,NE,13.32,12.61,69.94,27,0,8.63
Kalat,PK,29.03,66.58,31.06,77,8,1.14
Laguna de Duero,ES,41.58,-4.72,44.6,87,90,5.82
Morros,BR,-2.87,-44.04,82.4,78,40,14.99
Trincomalee,LK,8.58,81.23,74.8,86,64,4.16
Kangaatsiaq,GL,68.31,-53.46,28.54,94,68,3.49
Margate,ZA,-30.86,30.37,70.48,90,0,7.63
Bella Union,UY,-30.28,-57.6,77.77,65,0,8.19
Shima,CN,36.4,117.89,35.7,81,0,6.62
Salsomaggiore Terme,IT,44.81,9.98,45.91,100,92,6.73
Ileza,RU,61.05,43.9,24.72,95,80,10.2
Escanaba,US,45.75,-87.06,32.0,63,90,8.05
Naze,JP,28.37,129.48,69.94,100,32,15.57
Leningradskiy,RU,69.38,178.42,9.73,100,68,16.24
Moose Factory,CA,51.26,-80.61,35.6,100,90,2.24
Marawi,SD,18.48,31.82,58.96,52,0,7.63
Tygda,RU,53.11,126.33,-3.64,74,88,6.73
San Patricio,MX,19.22,-104.7,87.8,70,40,11.41
Caravelas,BR,-17.73,-39.27,76.69,100,92,13.44
Saint-Augustin,CA,45.63,-73.98,37.4,99,90,2.24
Nara,ML,15.17,-7.29,78.4,22,80,8.52
Huilong,CN,31.15,106.5,38.85,92,0,2.59
Tuatapere,NZ,-46.13,167.69,56.4,87,8,18.03
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,6.8,84,12,2.24
Mirnyy,RU,56.57,36.46,23.41,86,80,6.96
Fougamou,GA,-1.22,10.59,72.64,98,92,3.15
Pufesti,RO,46.0,27.2,33.8,100,90,11.41
Bandarbeyla,SO,9.49,50.81,79.62,100,64,12.44
Kailua,US,21.39,-157.74,80.96,69,40,5.82
Upata,VE,8.02,-62.41,80.56,73,68,9.53
Katsuura,JP,33.93,134.5,46.4,93,75,9.17
Riyadh,SA,24.63,46.72,59.0,87,20,3.36
Saint-Joseph,RE,-21.37,55.62,73.4,64,0,11.41
Maningrida,AU,-12.05,134.23,84.79,81,64,11.32
Fiche,ET,9.77,38.74,47.35,82,8,5.39
Atar,MR,20.52,-13.05,64.95,35,20,8.41
Iqaluit,CA,63.75,-68.52,14.0,85,90,2.24
Ancud,CL,-41.87,-73.83,61.57,61,8,5.84
Seoul,KR,37.57,126.98,39.2,86,20,1.12
Msanga,TZ,-6.04,36.03,68.5,68,0,7.4
Haines Junction,CA,60.75,-137.51,12.97,88,64,2.48
Coihaique,CL,-45.58,-72.07,60.8,44,20,9.17
Xam Nua,LA,20.42,104.04,54.33,100,92,2.15
Omboue,GA,-1.57,9.26,76.83,100,92,0.92
Charyshskoye,RU,51.4,83.56,14.37,75,64,12.44
Lar,IN,26.2,83.97,58.06,87,0,2.82
Koslan,RU,63.46,48.9,23.77,91,88,5.5
Puerto Lempira,HN,15.27,-83.77,83.71,82,80,4.72
Wuda,CN,39.5,106.72,27.1,37,32,14.45
Tiznit,MA,29.7,-9.73,58.24,96,64,3.94
Hannibal,US,39.71,-91.36,41.36,92,90,27.51
Romitan,UZ,39.93,64.38,33.8,86,12,6.93
Bertoua,CM,4.58,13.68,70.98,89,48,6.51
Vilhena,BR,-12.74,-60.15,76.65,87,68,2.71
Auki,SB,-8.77,160.7,81.33,100,36,1.59
Ossora,RU,59.24,163.07,12.75,100,88,6.51
Bardiyah,LY,31.76,25.09,64.0,100,0,7.52
Chuzhou,CN,32.25,118.33,46.4,100,90,2.93
Bilma,NE,18.69,12.92,56.67,33,0,2.82
Lompoc,US,34.64,-120.46,73.04,58,1,12.75
Maine-Soroa,NE,13.21,12.02,69.76,28,0,8.41
Sao Filipe,CV,14.9,-24.5,76.2,94,0,18.48
Mount Isa,AU,-20.73,139.49,80.6,36,0,2.24
Enkhuizen,NL,52.7,5.29,41.0,86,90,13.87
Dingle,IE,52.14,-10.27,45.19,100,20,17.58
Kodiak,US,39.95,-94.76,25.17,92,92,24.74
Chokurdakh,RU,70.62,147.9,-10.21,54,64,4.38
Nevinnomyssk,RU,44.63,41.94,32.0,62,0,6.71
Chara,RU,56.9,118.26,-13.81,71,68,1.59
Anloga,GH,5.79,0.9,84.2,83,40,11.41
Lucea,JM,18.44,-78.17,84.2,74,75,17.22
Itoman,JP,26.12,127.67,71.6,60,75,6.93
Souillac,MU,-20.52,57.52,77.0,94,40,4.7
Hohhot,CN,40.81,111.65,24.8,62,32,2.24
Yeniseysk,RU,58.45,92.17,11.26,70,68,9.53
Nanakuli,US,21.39,-158.15,80.96,69,20,4.7
Srivardhan,IN,18.03,73.02,70.62,92,0,3.38
Palmas,BR,-10.18,-48.33,84.2,70,20,4.61
Rameswaram,IN,9.28,79.3,81.42,100,92,16.13
Drayton Valley,CA,53.22,-114.98,32.82,71,0,4.38
Norman Wells,CA,65.28,-126.83,-2.21,77,75,2.24
Carutapera,BR,-1.2,-46.02,84.03,73,80,10.76
Sabha,LY,27.03,14.43,62.47,24,0,10.42
Vao,NC,-22.67,167.48,76.47,97,0,5.84
Hinche,HT,19.14,-72.01,86.0,66,20,10.29
Aykhal,RU,65.95,111.51,-29.83,46,48,1.92
Ambilobe,MG,-13.19,49.05,71.88,85,20,6.4
Villagarzon,CO,1.04,-76.63,65.8,89,44,2.26
Chorozinho,BR,-4.3,-38.5,82.4,78,20,12.75
Berlevag,NO,70.86,29.09,35.6,69,75,26.4
Orange Cove,US,36.62,-119.31,66.02,63,1,5.82
Manta,EC,-0.95,-80.73,80.6,78,75,11.41
Ahvaz,IR,31.32,48.68,59.0,100,88,2.24
Oudtshoorn,ZA,-33.59,22.2,64.4,88,36,2.71
Olinda,BR,-22.82,-43.41,82.4,65,75,6.93
West Bay,KY,19.37,-81.42,84.2,79,20,9.17
Vilyuysk,RU,63.75,121.63,-34.91,64,20,2.71
Vila Franca do Campo,PT,37.72,-25.43,62.6,67,20,12.75
Alta Floresta,BR,-9.87,-56.08,82.77,81,44,2.04
Kushiro,JP,43.11,144.15,33.04,88,0,9.75
Sabang,ID,1.17,120.82,81.46,100,12,2.82
Tatarsk,RU,55.22,75.96,14.05,80,68,8.19
La Ronge,CA,55.1,-105.3,10.4,78,75,6.93
Boyabat,TR,41.47,34.77,16.66,70,0,2.26
Baykit,RU,61.68,96.39,1.99,74,76,5.73
Kolar,IN,13.14,78.13,62.6,100,75,4.7
Palmer,US,61.6,-149.11,37.94,61,90,10.29
Tacuati,PY,-23.46,-56.74,85.65,58,8,3.38
Bonthe,SL,7.53,-12.5,81.78,83,12,4.16
Sola,VU,-13.88,167.55,82.27,93,44,6.51
Cockburn Town,TC,21.46,-71.14,80.43,100,0,2.93
Stornoway,GB,58.21,-6.39,41.0,75,8,9.17
Mareeba,AU,-16.99,145.42,86.0,66,40,8.05
Port Pirie,AU,-33.18,138.01,59.0,82,0,10.29
Yatou,CN,33.81,104.32,12.52,78,0,1.48
Lorengau,PG,-2.02,147.27,81.46,100,88,5.61
Ixtapa,MX,20.71,-105.21,82.4,51,90,2.93
Kungurtug,RU,50.6,97.53,1.72,63,36,8.19
Tabuk,SA,28.38,36.58,53.6,50,20,3.36
Pontianak,ID,-0.02,109.34,77.82,98,24,2.37
Rocha,UY,-34.48,-54.34,71.56,32,36,7.07
Padang,ID,-0.92,100.36,76.42,100,80,8.3
Paka,MY,4.64,103.44,75.2,94,88,3.38
Razvilnoye,RU,46.24,41.3,30.12,95,88,3.71
Santa Maria,CV,16.6,-22.9,73.4,69,40,18.34
Koungou,YT,-12.73,45.2,78.8,88,0,8.05
Te Anau,NZ,-45.41,167.72,56.22,69,0,3.38
Tahoua,NE,14.89,5.26,72.46,24,0,10.42
Mont-de-Marsan,FR,43.89,-0.5,48.2,93,75,3.36
Xinzhi,CN,36.5,111.7,18.37,59,8,1.7
Vianopolis,BR,-16.74,-48.52,70.48,94,76,2.04
Port Keats,AU,-14.25,129.55,81.1,95,12,8.97
Anadyr,RU,64.73,177.51,8.6,78,75,15.66
Fairbanks,US,64.84,-147.72,12.02,95,1,3.04
Kodinsk,RU,58.6,99.18,12.61,53,44,8.19
Rosarito,MX,27.04,-109.91,80.6,28,20,3.36
Lavumisa,SZ,-27.31,31.89,78.27,54,12,4.72
Sar-e Pul,AF,36.22,65.93,31.65,71,8,3.6
Ferme-Neuve,CA,46.7,-75.45,41.23,100,88,2.93
Salalah,OM,17.01,54.1,78.8,74,0,4.7
Quelimane,MZ,-17.88,36.89,78.8,88,75,3.36
Kununurra,AU,-15.77,128.74,80.6,78,0,4.7
Hermosillo,MX,29.09,-110.96,78.8,29,20,2.37
Iracoubo,GF,5.48,-53.21,80.25,79,92,6.06
Fortuna,US,40.6,-124.16,59.0,62,1,4.7
College,US,64.86,-147.8,12.02,95,1,3.04
Haysville,US,37.56,-97.35,30.92,74,75,19.46
Kieta,PG,-6.22,155.63,79.62,100,56,3.71
Itatskiy,RU,56.07,89.04,12.12,79,64,18.03
Prince Rupert,CA,54.32,-130.32,50.0,76,90,10.29
Ust-Kuyga,RU,70.0,135.55,-35.23,0,64,3.71
Kampot,KH,10.62,104.18,71.65,100,92,4.72
Abonnema,NG,4.71,6.79,75.79,91,0,7.96
İzmit,TR,40.76,29.93,48.2,100,8,2.15
Clovis,US,36.83,-119.7,66.02,86,20,12.75
Coquimbo,CL,-29.95,-71.34,62.6,72,40,10.29
Swellendam,ZA,-34.02,20.44,68.0,68,24,2.24
Vostok,RU,46.45,135.83,10.54,82,0,3.38
Quatre Cocos,MU,-20.21,57.76,77.0,94,40,4.7
Nicoya,CR,10.15,-85.45,91.4,49,20,13.87
Zhaodong,CN,46.07,125.99,30.2,63,0,20.13
Khash,IR,28.22,61.21,44.07,70,20,3.04
Constitucion,MX,23.99,-104.67,68.0,19,40,11.41
Ambulu,ID,-8.35,113.61,76.2,100,76,1.14
Moa,CU,20.66,-74.95,76.47,82,76,2.59
Sobolevo,RU,54.43,31.9,26.43,95,80,3.38
Xinzhou,CN,38.41,112.73,17.65,74,0,2.48
Ajdabiya,LY,30.75,20.22,61.21,51,80,9.19
Griffith,AU,-34.29,146.06,57.34,71,0,5.73
Moroni,KM,-11.7,43.26,78.8,78,20,4.7
North Bend,US,43.41,-124.22,55.04,74,1,6.93
Tateyama,JP,36.66,137.31,50.0,93,75,2.24
Tres Palos,MX,16.83,-99.78,86.0,70,40,7.96
West Helena,US,34.55,-90.64,66.2,100,20,14.99
Ambon,ID,-3.7,128.18,77.0,88,20,8.05
Cooma,AU,-36.24,149.13,50.37,88,88,8.19
Maniitsoq,GL,65.42,-52.9,29.08,76,0,7.29
Jaque,PA,7.52,-78.17,78.18,89,92,2.26
Marshall,US,39.39,-87.69,60.98,58,1,13.87
Corrales,PE,-15.47,-71.5,55.27,23,44,4.27
Broome,AU,-17.97,122.23,80.6,65,75,10.29
Tautira,PF,-17.73,-149.15,87.8,66,20,8.05
Sitka,US,37.17,-99.65,39.43,41,0,25.86
Hofn,IS,64.25,-15.21,34.12,100,56,5.17
Salinas,EC,0.49,-78.13,60.8,67,40,5.82
Mae Sai,TH,20.43,99.88,64.4,100,0,1.14
Shache,CN,38.42,77.24,23.95,72,0,6.06
Port Augusta,AU,-32.49,137.76,59.0,82,36,10.29
Amahai,ID,-3.31,129.0,82.36,100,0,3.94
Hasaki,JP,35.73,140.83,41.0,86,75,8.05
Unai,BR,-16.36,-46.91,69.58,96,92,3.49
Kloulklubed,PW,7.04,134.26,73.4,94,75,4.7
Wanaka,NZ,-44.7,169.14,49.15,88,80,2.71
Vigia del Fuerte,CO,6.58,-76.89,77.32,91,80,2.48
Kenai,US,60.55,-151.26,35.96,89,90,28.86
Tessalit,ML,20.2,1.01,70.21,36,24,9.08
Mchinji,MW,-13.8,32.89,65.89,86,20,6.73
Sukumo,JP,32.94,132.72,49.47,81,36,7.74
Winslow,US,35.02,-110.7,46.04,21,1,3.36
Comodoro Rivadavia,AR,-45.87,-67.48,69.8,26,0,13.87
